DESIGN R91
21 63 3 7 3
1 2 11
2 3 12
3 4 13
4 5 14
5 6 15
6 7 16
7 8 17
8 9 18
9 10 19
10 11 20
11 12 21
12 13 1
13 14 2
14 15 3
15 16 4
16 17 5
17 18 6
18 19 7
19 20 8
20 21 9
21 1 10
1 3 7
2 4 8
3 5 9
4 6 10
5 7 11
6 8 12
7 9 13
8 10 14
9 11 15
10 12 16
11 13 17
12 14 18
13 15 19
14 16 20
15 17 21
16 18 1
17 19 2
18 20 3
19 21 4
20 1 5
21 2 6
1 4 9
2 5 10
3 6 11
4 7 12
5 8 13
6 9 14
7 10 15
8 11 16
9 12 17
10 13 18
11 14 19
12 15 20
13 16 21
14 17 1
15 18 2
16 19 3
17 20 4
18 21 5
19 1 6
20 2 7
21 3 8
