DESIGN R93
24 80 3 6 4
1 2 21
2 7 22
7 8 3
8 13 4
13 14 9
14 19 10
19 20 15
20 1 16
1 14 22
2 19 3
7 20 4
8 1 9
13 2 10
14 7 15
19 8 16
20 13 21
1 4 17
2 9 18
7 10 23
8 15 24
13 16 5
14 21 6
19 22 11
20 3 12
5 2 15
6 7 16
11 8 21
3 4 23
4 9 24
9 10 5
10 15 6
15 16 11
16 21 12
21 22 17
22 3 18
3 16 24
4 21 5
9 22 6
10 3 11
15 4 12
16 9 17
21 10 18
22 15 23
3 6 13
4 11 14
9 12 19
10 17 20
15 18 1
16 23 2
21 24 7
22 5 8
12 13 22
17 14 3
18 19 4
1 3 5
2 4 6
7 9 11
8 10 12
13 15 17
14 16 18
19 21 23
20 22 24
5 6 19
6 11 20
11 12 1
12 17 2
17 18 7
18 23 8
23 24 13
24 5 14
5 18 20
6 23 1
11 24 2
12 5 7
17 6 8
18 11 13
23 12 14
24 17 19
23 20 9
24 1 10
